============================================================================================================
Arguments =
	approach: bic
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 5
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_bic_result10t
	save_models: False
	seed: 12
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2
	lamb: -1
	num_bias_epochs: 200
	val_exemplar_percentage: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 50
============================================================================================================
WARNING: ../miniimagenet_bic_result10t/miniimagenet_bic already exists!
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 50 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  3.6s | Train: skip eval | Valid: time=  0.6s loss=4.410, TAw acc= 23.0% | *
| Epoch   2, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=2.025, TAw acc= 28.6% | *
| Epoch   3, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=3.041, TAw acc= 27.2% |
| Epoch   4, time=  1.4s | Train: skip eval | Valid: time=  0.8s loss=2.190, TAw acc= 30.2% |
| Epoch   5, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=9.818, TAw acc= 24.6% |
| Epoch   6, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.848, TAw acc= 36.0% | *
| Epoch   7, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=2.029, TAw acc= 35.2% |
| Epoch   8, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.840, TAw acc= 36.2% | *
| Epoch   9, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.823, TAw acc= 35.4% | *
| Epoch  10, time=  2.0s | Train: skip eval | Valid: time=  0.7s loss=1.774, TAw acc= 39.0% | *
| Epoch  11, time=  1.3s | Train: skip eval | Valid: time=  0.6s loss=1.797, TAw acc= 38.4% |
| Epoch  12, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.777, TAw acc= 40.4% |
| Epoch  13, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.744, TAw acc= 39.8% | *
| Epoch  14, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.764, TAw acc= 41.6% |
